1,324.42,April,4,1967.25
2,325,May,5,1967.333333
3,324.09,June,6,1967.416667
4,322.55,July,7,1967.5
5,320.92,August,8,1967.583333
6,319.31,September,9,1967.666667
7,319.31,October,10,1967.75
8,320.72,November,11,1967.833333
9,321.96,December,12,1967.916667
10,322.57,January,1,1968
11,323.15,February,2,1968.083333
12,323.89,March,3,1968.166667
13,325.02,April,4,1968.25
14,325.57,May,5,1968.333333
15,325.36,June,6,1968.416667
16,324.14,July,7,1968.5
17,322.03,August,8,1968.583333
18,320.41,September,9,1968.666667
19,320.25,October,10,1968.75
20,321.31,November,11,1968.833333
21,322.84,December,12,1968.916667
22,324,January,1,1969
23,324.42,February,2,1969.083333
24,325.64,March,3,1969.166667
25,326.66,April,4,1969.25
26,327.34,May,5,1969.333333
27,326.76,June,6,1969.416667
28,325.88,July,7,1969.5
29,323.67,August,8,1969.583333
30,322.38,September,9,1969.666667
31,321.78,October,10,1969.75
32,322.85,November,11,1969.833333
33,324.12,December,12,1969.916667
34,325.03,January,1,1970
35,325.99,February,2,1970.083333
36,326.87,March,3,1970.166667
37,328.14,April,4,1970.25
38,328.07,May,5,1970.333333
39,327.66,June,6,1970.416667
40,326.35,July,7,1970.5
41,324.69,August,8,1970.583333
42,323.1,September,9,1970.666667
43,323.16,October,10,1970.75
44,323.98,November,11,1970.833333
45,325.13,December,12,1970.916667
46,326.17,January,1,1971
47,326.68,February,2,1971.083333
48,327.18,March,3,1971.166667
49,327.78,April,4,1971.25
50,328.92,May,5,1971.333333
51,328.57,June,6,1971.416667
52,327.34,July,7,1971.5
53,325.46,August,8,1971.583333
54,323.36,September,9,1971.666667
55,323.57,October,10,1971.75
56,324.8,November,11,1971.833333
57,326.01,December,12,1971.916667
58,326.77,January,1,1972
59,327.63,February,2,1972.083333
60,327.75,March,3,1972.166667
61,329.72,April,4,1972.25
62,330.07,May,5,1972.333333
63,329.09,June,6,1972.416667
64,328.05,July,7,1972.5
65,326.32,August,8,1972.583333
66,324.93,September,9,1972.666667
67,325.06,October,10,1972.75
68,326.5,November,11,1972.833333
69,327.55,December,12,1972.916667
70,328.55,January,1,1973
71,329.56,February,2,1973.083333
72,330.3,March,3,1973.166667
73,331.5,April,4,1973.25
74,332.48,May,5,1973.333333
75,332.07,June,6,1973.416667
76,330.87,July,7,1973.5
77,329.31,August,8,1973.583333
78,327.51,September,9,1973.666667
79,327.18,October,10,1973.75
80,328.16,November,11,1973.833333
81,328.64,December,12,1973.916667
82,329.35,January,1,1974
83,330.71,February,2,1974.083333
84,331.48,March,3,1974.166667
85,332.65,April,4,1974.25
86,333.09,May,5,1974.333333
87,332.25,June,6,1974.416667
88,331.18,July,7,1974.5
89,329.4,August,8,1974.583333
90,327.43,September,9,1974.666667
91,327.37,October,10,1974.75
92,328.46,November,11,1974.833333
93,329.57,December,12,1974.916667
94,330.4,January,1,1975
95,331.41,February,2,1975.083333
96,332.04,March,3,1975.166667
97,333.31,April,4,1975.25
98,333.96,May,5,1975.333333
99,333.6,June,6,1975.416667
100,331.91,July,7,1975.5
101,330.06,August,8,1975.583333
102,328.56,September,9,1975.666667
103,328.34,October,10,1975.75
104,329.49,November,11,1975.833333
105,330.76,December,12,1975.916667
106,331.75,January,1,1976
107,332.56,February,2,1976.083333
108,333.5,March,3,1976.166667
109,334.58,April,4,1976.25
110,334.87,May,5,1976.333333
111,334.34,June,6,1976.416667
112,333.05,July,7,1976.5
113,330.94,August,8,1976.583333
114,329.3,September,9,1976.666667
115,328.94,October,10,1976.75
116,330.31,November,11,1976.833333
117,331.68,December,12,1976.916667
118,332.93,January,1,1977
119,333.42,February,2,1977.083333
120,334.7,March,3,1977.166667
121,336.07,April,4,1977.25
122,336.74,May,5,1977.333333
123,336.27,June,6,1977.416667
124,334.93,July,7,1977.5
125,332.75,August,8,1977.583333
126,331.59,September,9,1977.666667
127,331.16,October,10,1977.75
128,332.4,November,11,1977.833333
129,333.85,December,12,1977.916667
130,334.97,January,1,1978
131,335.39,February,2,1978.083333
132,336.64,March,3,1978.166667
133,337.76,April,4,1978.25
134,338.01,May,5,1978.333333
135,337.89,June,6,1978.416667
136,336.54,July,7,1978.5
137,334.68,August,8,1978.583333
138,332.76,September,9,1978.666667
139,332.55,October,10,1978.75
140,333.92,November,11,1978.833333
141,334.95,December,12,1978.916667
142,336.23,January,1,1979
143,336.76,February,2,1979.083333
144,337.96,March,3,1979.166667
145,338.89,April,4,1979.25
146,339.47,May,5,1979.333333
147,339.29,June,6,1979.416667
148,337.73,July,7,1979.5
149,336.09,August,8,1979.583333
150,333.91,September,9,1979.666667
151,333.86,October,10,1979.75
152,335.29,November,11,1979.833333
153,336.73,December,12,1979.916667
154,338.01,January,1,1980
155,338.36,February,2,1980.083333
156,340.08,March,3,1980.166667
157,340.77,April,4,1980.25
158,341.46,May,5,1980.333333
159,341.17,June,6,1980.416667
160,339.56,July,7,1980.5
161,337.6,August,8,1980.583333
162,335.88,September,9,1980.666667
163,336.02,October,10,1980.75
164,337.1,November,11,1980.833333
165,338.21,December,12,1980.916667
166,339.23,January,1,1981
167,340.47,February,2,1981.083333
168,341.38,March,3,1981.166667
169,342.51,April,4,1981.25
170,342.91,May,5,1981.333333
171,342.25,June,6,1981.416667
172,340.49,July,7,1981.5
173,338.43,August,8,1981.583333
174,336.69,September,9,1981.666667
175,336.86,October,10,1981.75
176,338.36,November,11,1981.833333
177,339.61,December,12,1981.916667
178,340.75,January,1,1982
179,341.61,February,2,1982.083333
180,342.7,March,3,1982.166667
181,343.57,April,4,1982.25
182,344.13,May,5,1982.333333
183,343.35,June,6,1982.416667
184,342.06,July,7,1982.5
185,339.81,August,8,1982.583333
186,337.98,September,9,1982.666667
187,337.86,October,10,1982.75
188,339.26,November,11,1982.833333
